uid,data_provider,region,lat(degrees),lon(degrees),date(yyyymmdd),time(hh:mm:ss),abun(cells/L),severity,distance_to_water(m)
kbnw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3589058052,-7900246665,20200715,0:01:00,13555,1,466
kbog,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3570946193,-791571449,20160831,0:01:00,281,1,185
kbok,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3572495167,-7912837437,20180711,0:01:00,5809,1,780
kbon,California_Environmental_Data_Exchange_Network,west,388121,-121774,20140210,16:30:00,2124738,4,9
kbpt,US_Army_Corps_of_Engineers,northeast,41992305,-78929219,20140818,19:00:00,1959953271,1,0
kbqj,Pennsylvania_Department_of_Environmental_Protection,northeast,4003059,-7650998,20170817,17:00:00,2667,1,0
kbqw,California_Environmental_Data_Exchange_Network,west,37.66,-120875,20131112,16:30:00,69523925,4,696
kbqy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3564607,-7902632859,20160713,0:01:00,487965,3,793
kbsd,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3921067,-9697298,20140623,0:01:00,517.86,3,0
kbsl,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3980482,-9993915,20160620,0:01:00,51345,2,0
kbtc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3569495692,-7918408637,20160607,0:01:00,278,1,312
kbtg,California_Environmental_Data_Exchange_Network,west,364638,-119223,20150224,22:00:00,638.25,3,190
kbts,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3589968012,-7907529527,20170214,0:01:00,1299,1,131
kbub,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3570331394,-7916856413,20190829,0:01:00,2.42,1,448
kbum,California_Environmental_Data_Exchange_Network,west,373609,-120549,20161029,19:50:00,52850645,4,539
kbvh,EPA_Central_Data_Exchange,midwest,42116667,-81.25,20190810,0:01:00,309262795,1,0
kbwm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3563659092,-792924949,20160406,0:01:00,292,1,445
kbxn,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3774668,-9777936,20211004,0:01:00,90259,2,0
kbxx,California_Environmental_Data_Exchange_Network,west,379674,-121464,20200915,17:50:00,16377845,4,124
kbyk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-7883443883,20210526,0:01:00,4808,1,498
kbzh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34965,-7908403217,20160922,0:01:00,66701,2,690
kbzt,EPA_Central_Data_Exchange,northeast,43516667,-79.08,20170816,0:01:00,9355538095,1,0
kcao,US_Army_Corps_of_Engineers,south,38967468,-80493022,20130709,17:30:00,1010353754,1,0
kcbk,California_Environmental_Data_Exchange_Network,west,387604,-120.71,20150120,16:40:00,5255,4,772
kccx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,356457996,-7927539077,20190219,0:01:00,1373,1,687
kcdc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.39,-7893038371,20190930,0:01:00,1198,1,56
kcee,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586644949,-7880933408,20160406,0:01:00,2178,1,121
kcgk,California_Environmental_Data_Exchange_Network,west,381156,-121494,20170418,17:00:00,35916845,4,177
kcgs,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3617911,-7905348203,20130530,0:01:00,3128,1,278
kchh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3565519459,-7925794061,20140610,0:01:00,1561,1,317
kchr,California_Environmental_Data_Exchange_Network,west,391853,-121704,20180124,23:50:00,5870,4,1556
kcie,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.03,-7868356178,20200624,0:01:00,52443,2,167
kcja,Indiana_State_Department_of_Health,midwest,38814,-8608063972,20170807,15:25:00,126833,3,0
kcjk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35976,-7872656298,20140512,0:01:00,13407,1,319
kcmh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.17,-7905264165,20180816,0:01:00,34186,2,643
kcmp,Connecticut_State_Department_of_Public_Health,northeast,416835,-734777,20150810,15:51:00,3861,1,0
kcnd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3562722255,-7930989563,20150824,0:01:00,1128.42,4,648
kcpi,EPA_Central_Data_Exchange,midwest,4762155,-89463167,20140827,0:01:00,866609732,1,0
kcpr,California_Environmental_Data_Exchange_Network,west,374363,-120036,20201013,18:16:00,6955,4,622
kcrs,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3564207355,-7928231152,20201022,0:01:00,3389,1,613
kcsa,California_Environmental_Data_Exchange_Network,west,372764,-120954,20170912,18:00:00,7525,4,641
kcsl,Pennsylvania_Department_of_Environmental_Protection,northeast,4169317,-7512969,20190827,17:15:00,19133,1,0
kcso,US_Army_Corps_of_Engineers,northeast,41309434,-80461686,20160906,12:55:00,1818615741,3,0
kcsr,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.15,-7910568422,20200526,0:01:00,10576,1,693
kcvp,US_Army_Corps_of_Engineers,midwest,41299298,-80758329,20170825,21:35:00,1070363176,1,38
kcwg,California_Environmental_Data_Exchange_Network,west,332892,-117224,20150506,12:59:00,553.25,3,1290
kcwr,California_Environmental_Data_Exchange_Network,west,376106,-121229,20170411,15:50:00,5865,4,981
kcxo,California_Environmental_Data_Exchange_Network,west,367593,-121755,20210929,20:20:00,2865,4,147
kcxu,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586915142,-7883095897,20170517,0:01:00,7261,1,312
kcyq,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,358576294,-7873874252,20140715,0:01:00,1634,1,1055
kdan,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.74,-7908007746,20170918,0:01:00,3195,1,533
kdbm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.5,-7906687861,20190711,0:01:00,18989,1,0
kdbw,California_Environmental_Data_Exchange_Network,west,377705,-121292,20141204,16:30:00,4135.52,4,138
kdcu,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3562476,-7870966078,20160608,0:01:00,29699,2,807
kdcw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3566741073,-7923525045,20161121,0:01:00,581,1,178
kddx,California_Environmental_Data_Exchange_Network,west,372486,-120851,20150414,18:00:00,5485,4,488
kdex,EPA_Central_Data_Exchange,midwest,4532413933,-8341868609,20170808,0:01:00,1803610661,1,0
kdfv,EPA_Water_Quality_Data_Portal,midwest,44878889,-93490833,20130924,14:15:00,733,1,0
kdgh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-7882275642,20200601,0:01:00,137966,3,572
kdgp,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3851301083,-9570121672,20180709,0:01:00,636.3,3,9
kdgv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3588058027,-7892242973,20151112,0:01:00,4841,1,1022
kdhs,EPA_Central_Data_Exchange,midwest,45178333,-86375,20160806,0:01:00,5066904576,1,0
kdhx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3571622206,-7914458869,20130709,0:01:00,15814,1,333
kdjw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3562847344,-7930757224,20150506,0:01:00,91494,2,689
kdkb,California_Environmental_Data_Exchange_Network,west,38133,-121522,20170620,15:20:00,2611478,4,770
kdkd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36039,-7908694877,20130627,0:01:00,5367,1,139
kdlp,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3837611,-9707583,20160531,0:01:00,32.76,2,0
kdlw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3589753721,-7905814451,20160406,0:01:00,1.32,1,1715
kdmj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.06,-78.76,20200601,0:01:00,218165,3,0
kdmo,Pennsylvania_Department_of_Environmental_Protection,northeast,415726,-7570775,20210614,17:15:00,35333,2,0
kdms,California_Environmental_Data_Exchange_Network,west,368754,-121561,20201228,19:45:00,2544767,4,311
kdnn,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3572479199,-7912867098,20160729,0:01:00,40664,2,796
kdof,California_Environmental_Data_Exchange_Network,west,383677,-121521,20150923,15:30:00,397742675,4,0
kdpl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36028,-78716,20130613,0:01:00,306407,3,0
kdpp,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3588558039,-7896244819,20180411,0:01:00,2.42,1,162
kdqo,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,361606,-7909826913,20150727,0:01:00,6311,1,849
kdro,California_Environmental_Data_Exchange_Network,west,371366,-120762,20141112,21:00:00,3450,4,599
kdtg,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3570065247,-7917350752,20130710,0:01:00,508,1,109
kdtk,US_Army_Corps_of_Engineers,northeast,4169747,-80106079,20170621,20:30:00,1041965517,1,490
kdtl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-7903706997,20210712,0:01:00,39502,2,743
kdtn,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35458,-7886799468,20140812,0:01:00,0.69,1,421
kdty,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3569530292,-7918344373,20160509,0:01:00,3575,1,328
kduy,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3916522,-9691105,20161024,0:01:00,105525,3,0
kdvk,EPA_National_Aquatic_Research_Survey,south,333449,-9252257,20170824,0:01:00,219935,3,0
kdwd,Pennsylvania_Department_of_Environmental_Protection,northeast,3979722,-7604278,20180801,17:05:00,1067867,4,0
kdxc,California_Environmental_Data_Exchange_Network,west,37386,-121.91,20130404,16:25:00,6810,4,800
kdyh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586104563,-7876608432,20130904,0:01:00,7988,1,934
kebb,EPA_National_Aquatic_Research_Survey,south,320567,-967321,20170607,0:01:00,67537,2,0
kebd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.61,-7895349996,20180716,0:01:00,9266,1,0
kebe,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3563978468,-7928656283,20170920,0:01:00,6132,1,560
kecj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.65,-7868654452,20210811,0:01:00,6132,1,482
kect,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3571348074,-7914968038,20160915,0:01:00,484,1,590
kecz,California_Environmental_Data_Exchange_Network,west,372583,-120475,20170314,20:50:00,25365785,4,993
kedm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35573,-7893187508,20130522,0:01:00,13797,1,1115
kedr,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3569652719,-7918116977,20150723,0:01:00,13071,1,342
keds,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3572114577,-7913544342,20180625,0:01:00,74.55,2,1023
keec,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35794,-7901512133,20150723,0:01:00,14523,1,0
keew,California_Environmental_Data_Exchange_Network,west,368905,-121801,20170111,21:00:00,4275,4,620
kefe,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3564132834,-7928369567,20210524,0:01:00,835,1,544
kegf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3568021239,-7921147275,20170720,0:01:00,1452,1,950
kegm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3572266281,-7913262569,20130619,0:01:00,88266,2,958
kegq,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3562476,-7870941222,20160608,0:01:00,39212,2,799
kehh,Pennsylvania_Department_of_Environmental_Protection,northeast,398055,-7605611,20170907,15:00:00,1366667,4,0
keht,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3588809598,-789825817,20190611,0:01:00,97593,2,200
kehw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3590353114,-7910611695,20181206,0:01:00,9527,1,138
keid,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3588322009,-7894355749,20170214,0:01:00,30721,2,237
keja,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,356729732,-7922491877,20210805,0:01:00,40664,2,299
kekm,California_Environmental_Data_Exchange_Network,west,35.6,-119.61,20130326,16:30:00,1495.25,4,331
kela,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-7879069194,20180523,0:01:00,508,1,297
kepk,Indiana_State_Department_of_Health,midwest,39878126,-86017742,20170717,18:30:00,10.33,1,19
kepn,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.16,-7912273891,20140730,0:01:00,5809,1,1032
keqp,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,358998354,-7907653808,20170214,0:01:00,5121,1,272
kera,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3838889,-9709306,20140728,0:01:00,81.9,2,9
kerd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35764,-791071178,20160607,0:01:00,1694,1,557
kere,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3907775,-969059,20150810,0:01:00,332.64,3,0
kerl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3571228308,-7915190491,20160511,0:01:00,2505,1,524
kerr,US_Army_Corps_of_Engineers,midwest,41004436,-81050413,20180705,18:40:00,2775384615,2,0
kesu,California_Environmental_Data_Exchange_Network,west,37.66,-120875,20141203,17:20:00,58256435,4,696
ketd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3571260246,-791513117,20210811,0:01:00,2905,1,529
kets,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3567712509,-7921720708,20190516,0:01:00,27801,2,401
keuc,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3831806,-9699139,20210426,0:01:00,432406,3,0
keuf,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3866955668,-9561899181,20180904,0:01:00,134505,3,9
keuk,EPA_Central_Data_Exchange,midwest,42116667,-81.25,20180408,0:01:00,4512887177,1,0
keuo,California_Environmental_Data_Exchange_Network,west,374583,-120967,20191008,16:30:00,18657395,4,881
kevk,California_Environmental_Data_Exchange_Network,west,391766,-122189,20140115,17:25:00,1659054,4,1456
kewa,California_Environmental_Data_Exchange_Network,west,382996,-121383,20171226,16:55:00,913959,4,1627
kewc,California_Environmental_Data_Exchange_Network,west,375368,-121049,20140513,17:00:00,4369988,4,763
kewe,California_Environmental_Data_Exchange_Network,west,374583,-120967,20131015,19:30:00,390545,3,881
kewf,California_Environmental_Data_Exchange_Network,west,371145,-120.89,20180508,15:15:00,2214222,4,1451
keyj,California_Environmental_Data_Exchange_Network,west,369893,-121533,20180301,15:40:00,5840,4,164
kfau,US_Army_Corps_of_Engineers,midwest,41141242,-81161385,20160906,18:00:00,181124498,1,0
kfcj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35794,-7901522019,20150806,0:01:00,19364,1,0
kfct,California_Environmental_Data_Exchange_Network,west,381428,-121.47,20210811,19:05:00,976051,4,0
kfdo,US_Army_Corps_of_Engineers,northeast,41420548,-78735553,20161012,19:35:00,63076923,1,9
kfdw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3560595,-789910328,20160810,0:01:00,818117,3,1096
kfey,EPA_National_Aquatic_Research_Survey,midwest,4321885,-8546762,20170605,0:01:00,23712,2,0
kffj,EPA_National_Aquatic_Research_Survey,south,349645,-9670763,20170906,0:01:00,163722,3,0
kffv,California_Environmental_Data_Exchange_Network,west,390258,-121727,20200520,22:50:00,35265545,4,33
kfgi,EPA_Central_Data_Exchange,northeast,43596667,-78801667,20160408,0:01:00,460617831,1,0
kfgj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36592,-7906411031,20140717,0:01:00,182,1,761
kfgz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3564607,-7868057904,20161005,0:01:00,3873,1,543
kfhw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.5,-77.04,20190808,0:01:00,45436,2,0
kfid,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3879643622,-9759567525,20210517,0:01:00,1197.25,4,29
kfim,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.74,-79.02,20170720,0:01:00,320746,3,0
kfio,California_Environmental_Data_Exchange_Network,west,372639,-120906,20180912,18:01:00,5960,4,689
kfkk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586250529,-7877776673,20140623,0:01:00,46473,2,1476
kfky,US_Army_Corps_of_Engineers,northeast,41841242,-78994719,20130612,12:45:00,474173913,1,0
kflh,California_Environmental_Data_Exchange_Network,west,393092,-121595,20140114,21:20:00,1262766,4,2716
kfln,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3564867399,-7927005191,20170418,0:01:00,4066,1,588
kflr,New_Mexico_Environment_Department,west,36635965,-105449618,20180726,0:01:00,453430186,1,0
kflt,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3562732901,-7930969789,20150824,0:01:00,2033,1,647
kfmb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3565716407,-792542825,20130604,0:01:00,8714,1,139
kfmv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3562850006,-793075228,20150506,0:01:00,6051,1,683
kfoa,New_Mexico_Environment_Department,west,36635965,-105449618,20171004,0:01:00,3998392,1,0
kfoc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3568806372,-7919688975,20201022,0:01:00,775,1,690
kfon,California_Environmental_Data_Exchange_Network,west,382603,-121679,20190730,17:45:00,1081.67,4,0
kfpw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-790271832,20181018,0:01:00,528,1,219
kfre,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586750541,-7881778519,20160719,0:01:00,98755,2,345
kfrw,EPA_Central_Data_Exchange,northeast,43516667,-79.08,20190425,0:01:00,546780648,1,0
kfsf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3564215339,-7928216322,20200924,0:01:00,89557,2,624
kftf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34941,-7910163064,20160725,0:01:00,48167,2,450
kfto,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,356796801,-7921246143,20170920,0:01:00,6777,1,839
kfum,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.67,-7904908241,20200514,0:01:00,2968,1,252
kfvc,California_Environmental_Data_Exchange_Network,west,369128,-121744,20180302,16:45:00,5255,4,2132
kfvf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3567427731,-7922249651,20200924,0:01:00,436,1,278
kfvs,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.84,-790595624,20200519,0:01:00,3122,1,317
kfwq,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586054872,-7876210733,20130730,0:01:00,528629,3,653
kfxj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3572468553,-7912886871,20160729,0:01:00,66079,2,798
kfxm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35794,-7900933756,20140610,0:01:00,25024,2,0
kfxr,California_Environmental_Data_Exchange_Network,west,329464,-117205,20150301,6:21:00,4212,4,861
kfxs,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35742,-7922070396,20151207,0:01:00,1614,1,1179
kfxx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3567834936,-7921493312,20180711,0:01:00,9488,1,575
kfyj,Wyoming_Department_of_Environmental_Quality,west,41469444,-111023056,20170816,21:00:00,2471633,2,178
kfyu,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3566522832,-7923930403,20171115,0:01:00,292,1,219
kfyx,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,39845,-95376,20141027,0:01:00,1.89,1,0
kfzc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3572436615,-7912946192,20180521,0:01:00,136179,3,806
kfze,California_Environmental_Data_Exchange_Network,west,390258,-121727,20200715,20:37:00,15335765,4,33
kfzv,California_Environmental_Data_Exchange_Network,west,367085,-121749,20171213,16:20:00,5375,4,80
kfzy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3562775485,-7930890695,20150707,0:01:00,1779,1,646
kgak,EPA_National_Aquatic_Research_Survey,northeast,4015804,-78973,20170919,0:01:00,15557,1,0
kgbq,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,358599897,-7875763322,20130604,0:01:00,11176,1,446
kgbz,Pennsylvania_Department_of_Environmental_Protection,northeast,4173869,-7726444,20170425,15:30:00,45691,1,0
kgch,California_Environmental_Data_Exchange_Network,west,382399,-121565,20141202,18:05:00,7565,4,722
kgcy,California_Environmental_Data_Exchange_Network,west,382996,-121383,20150423,19:30:00,1797846,4,1627
kged,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-7902248698,20170517,0:01:00,12707,1,0
kgfb,California_Environmental_Data_Exchange_Network,west,404189,-122214,20150819,20:15:00,1502000,4,817
kgfz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,361606,-7909777479,20150518,0:01:00,25044,2,798
kggt,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.74,-79.02,20170621,0:01:00,581637,3,0
kggw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.03,-7867535924,20191210,0:01:00,15884,1,297
kggy,EPA_Central_Data_Exchange,midwest,45.45,-82915,20140810,0:01:00,747319259,1,0
kghb,California_Environmental_Data_Exchange_Network,west,387604,-120.71,20210524,20:50:00,6310,4,772
kghw,Pennsylvania_Department_of_Environmental_Protection,northeast,40100835,-75842549,20180912,14:35:00,0,1,1008
kgiy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.16,-7909990045,20200721,0:01:00,155515,3,734
kgjd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3589905898,-7907032404,20161121,0:01:00,9682,1,421
kgki,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3561133,-7897984752,20160727,0:01:00,484577,3,386
kgkp,California_Environmental_Data_Exchange_Network,west,376578,-121.86,20130709,21:00:00,1890983,4,1609
kglj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.21,-7892267829,20180625,0:01:00,21002,2,2600
kgmm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586262952,-7877876097,20140716,0:01:00,20332,2,1549
kgmw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3564076943,-7928473378,20210805,0:01:00,103257,3,520
kgnj,EPA_National_Aquatic_Research_Survey,west,4683236,-1218633,20170914,0:01:00,9054,1,0
kgnx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3569240191,-7918883203,20171206,0:01:00,11037,1,624
kgph,California_Environmental_Data_Exchange_Network,west,373097,-120788,20210413,20:00:00,37154315,4,266
kgpz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3572306203,-7913188418,20180705,0:01:00,102628,3,909
kgqh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3568836,-7869946974,20160831,0:01:00,103983,3,0
kgry,US_Army_Corps_of_Engineers,south,39274159,-79959997,20131021,18:15:00,649778761,1,0
kgsh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3571401304,-791486917,20160525,0:01:00,9198,1,651
kgsq,California_Environmental_Data_Exchange_Network,west,349638,-120642,20150316,19:00:00,7725,4,337
kgtp,California_Environmental_Data_Exchange_Network,west,38307,-121794,20140114,16:30:00,5605,4,251
kgue,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-7903019866,20191017,0:01:00,1452,1,241
kguh,EPA_Central_Data_Exchange,midwest,44.14,-87233333,20160327,0:01:00,13358976,1,0
kguw,California_Environmental_Data_Exchange_Network,west,372953,-120.85,20210112,18:00:00,6345,4,9
kgvk,California_Environmental_Data_Exchange_Network,west,391766,-122189,20150819,16:15:00,5735,4,1456
kgwh,Indiana_State_Department_of_Health,midwest,4133056393,-8538360833,20170627,13:40:00,399022,3,0
kgwp,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34941,-7910266875,20160922,0:01:00,51.49,2,570
kgyo,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3921067,-9697298,20150831,0:01:00,826.56,3,0
kgyw,US_Army_Corps_of_Engineers,northeast,41890646,-78925275,20190925,13:15:00,3067464345,1,0
kgzi,EPA_National_Aquatic_Research_Survey,midwest,4591586,-8982877,20170725,0:01:00,19086,1,0
kgzo,California_Environmental_Data_Exchange_Network,west,374583,-120967,20171010,15:20:00,9799715,3,881
khas,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.91,-78.9,20180723,0:01:00,6698747,4,52
khaw,California_Environmental_Data_Exchange_Network,west,353207,-120806,20140421,16:35:00,4510,4,851
khbd,California_Environmental_Data_Exchange_Network,west,376419,-121228,20170329,19:45:00,2485206665,4,28
khbj,US_Army_Corps_of_Engineers,northeast,42027378,-78967089,20151013,15:00:00,3064487179,2,0
khcq,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3568974045,-7919377542,20190904,0:01:00,2697,1,887
khdn,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.74,-79.02,20190319,0:01:00,14159,1,0
khea,California_Environmental_Data_Exchange_Network,west,367085,-121749,20151215,15:30:00,1545829,4,80
kheb,Indiana_State_Department_of_Health,midwest,3958638333,-8499486667,20200811,14:40:00,462399,3,0
khej,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586716379,-7881505101,20160621,0:01:00,7745,1,491
khfp,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.05,-76.68,20211207,0:01:00,726,1,0
khga,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586455503,-7879417181,20150622,0:01:00,96657,2,1379
khgc,New_Mexico_Environment_Department,west,3684907,-10760725,20180404,0:01:00,3992720567,1,0
khib,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3564212678,-7928221265,20201022,0:01:00,64868,2,616
khik,Indiana_State_Department_of_Health,midwest,39878126,-86017742,20180514,18:20:00,2.34,1,19
khil,California_Environmental_Data_Exchange_Network,west,370062,-120.6,20180710,22:00:00,10305,5,1186
khio,California_Environmental_Data_Exchange_Network,west,362109,-119199,20170208,15:00:00,1620.75,4,262
khjj,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,39400181,-9945699,20170918,0:01:00,3411.45,4,9
khjy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-7903108847,20191205,0:01:00,1694,1,248
